"","Date","value","zone","species","metric","creation_date"
"165","2023-05-22",0.0242692062262479,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"166","2023-05-22",0.0227236833481298,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"167","2023-05-23",0.0312853975821648,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"168","2023-05-23",0.0251503733265688,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"169","2023-05-24",0.0308457430458568,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"170","2023-05-24",0.0236244638825412,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"171","2023-05-25",0.0291009608830571,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"172","2023-05-25",0.0225119463453121,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"173","2023-05-26",0.0310211345347286,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"174","2023-05-26",0.0231285168767988,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"175","2023-05-27",0.0386133053587236,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"176","2023-05-27",0.0259352462238948,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"177","2023-05-28",0.0381453378539425,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"178","2023-05-28",0.0265983838428714,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"179","2023-05-29",0.037225330222344,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"180","2023-05-29",0.0244101802067779,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"181","2023-05-30",0.0413088640060117,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"182","2023-05-30",0.0303281701475522,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"183","2023-05-31",0.0448875162655942,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"184","2023-05-31",0.0399954689536305,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"185","2023-06-01",0.0346144986242611,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"186","2023-06-01",0.0355257416515933,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"187","2023-06-02",0.0298710771672507,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"188","2023-06-02",0.0277373917544118,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"189","2023-06-03",0.0749241293186009,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"190","2023-06-03",0.0660055835720657,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"191","2023-06-04",0.073940553510982,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"192","2023-06-04",0.0659862968646929,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"193","2023-06-05",0.0742616334854899,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"194","2023-06-05",0.0741643211766224,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"195","2023-06-06",0.0745909925712294,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"196","2023-06-06",0.0765136342187779,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"197","2023-06-07",0.0774757560967347,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"198","2023-06-07",0.0897994133492904,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"199","2023-06-08",0.0714023598325338,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"200","2023-06-08",0.0710169852218924,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"201","2023-06-09",0.0787256593248733,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"202","2023-06-09",0.0870058815590976,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"203","2023-06-10",0.132742784269069,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"204","2023-06-10",0.123550516728513,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"205","2023-06-11",0.14770060100723,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"206","2023-06-11",0.124711810088367,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"207","2023-06-12",0.133588801456373,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"208","2023-06-12",0.110738350776574,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"209","2023-06-13",0.11108840965815,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"210","2023-06-13",0.126329957335309,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"211","2023-06-14",0.117277373443504,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"212","2023-06-14",0.156040070267507,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"213","2023-06-15",0.125802245979934,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"214","2023-06-15",0.154248289398105,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"215","2023-06-16",0.1366883599978,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"216","2023-06-16",0.136955114932039,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"217","2023-06-17",0.169989721140205,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"218","2023-06-17",0.182722723916319,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"219","2023-06-18",0.164960307241764,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"220","2023-06-18",0.181331619147803,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"221","2023-06-19",0.182331329613247,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"222","2023-06-19",0.176356781054587,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"223","2023-06-20",0.157578283134016,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"224","2023-06-20",0.186077031067614,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"225","2023-06-21",0.159128410250775,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"226","2023-06-21",0.182787329306043,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"227","2023-06-22",0.160045036343766,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
